Наименование;Цена;Размеры;Ссылка;Описание;Фото
МОДЕЛЬ П-0068 Снова в наличии все размеры;1 150 р.;50-64;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0068;Офисное платье полуприлегающего силуэта, хлопок сатин цветы на синем. В составе присутствует эластан, что даёт возможность для более лучшей посадки на фигуре. Платье с поясом. Рукав короткий, реглан. По переду застежка на петли и пуговицы. По горловине отложной воротник на стойке, в боковых швах карманы. По спинке в среднем шве шлица, в боковых швах карманы. Длина рукава с плечом 38 см. Длина изделия по спинке: размер 50,52,54,56 - 103см., размер 58,60 - 105см., размер 62,64 - 107см.;
МОДЕЛЬ П-0083     НОВИНКА;1 250 р.;52-66;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0083;Платье трапециевидного силуэта из тонкой джинсы. По низу платья вышивка из шелковых нитей. Вырез горловины V-образный. В боковых швах карманы. Рукав короткий, сложной конфигурации. С заходом передней половинки на заднюю, что дает свободу движения. Брошь не входит в стоимость изделия. Длина рукава в коротком месте 18см., длина изделия 103 см.;
МОДЕЛЬ П-0093    ;1 300 р.;52-66;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0093;"Стильное платье из тонкой джинсы с вышивкой из шелковых нитей. Платье отрезное по линии талии, юбка силуэта ""Трапеция"". Вырез горловины овальный, перед застегивается на петли и пуговицы. Рукав короткий. Платье с поясом. Брошь в комплект не входит. Длина рукава 28 см., длина изделия по спинке 117 см.";
МОДЕЛЬ Р-0081          ;850 р.;52-66;http://krassa-nsk.ru/index.php?route=product/product&path=65&product_id=171;Женская туника из хлопковой ткани принт кошечки на голубом. Туника прямого силуэта. По спинке кокетка и встречная складка. По переду нагрудные вытачки. Вырез горловины V-образный с отложным воротником. Рукав короткий. Низ туники ассиметричный, по бокам разрезы. Длина рукава 31 см., длина изделия по спинке 87 см.;
Модель П-0089;1000 р.;52-66;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0089;Платье из тонкого крепового набивного полотна с вискозой. Силуэт платья полуприлегающий. Платье обрезное по линии талии. Для лучшей посадки по талии вставлена тонкая резина, что позволяет платью правильно сидеть на фигуре. Платье с поясом. Сзади по среднему шву разрез, рукав короткий реглан. По вырезу горловины спереди заложены мягкие складочки. Для более комфортной носки изделия, юбка платья на подкладе. Длина рукава с плечом 27 см. Длина изделия 113 см.;
Модель П-0088;950 р.;52-66;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0088;Платье полуприлегающего силуэта принт на синем. Платье обрезное по линии талии. Для лучшей посадки по талии вставлена тонкая резина, что позволяет платью правильно сидеть на фигуре. Платье с поясом. Сзади по среднему шву разрез, рукав короткий реглан. По вырезу горловины спереди заложены мягкие складочки. Длина рукава с плечом 27 см. Длина изделия 113 см.;
Модель П-0087;1000 р. ;52-66;http://krassa-nsk.ru/index.php?route=product/product&path=63&product_id=164;Платье полуприлегающего силуэта с поясом. Принт цветы на бирюзе. По переду платье отрезное по линии талии с заложенными мягкими складочками. Сзади по среднему шву разрез. Платье с цельнокроенным рукавом кимоно. Для лучшего прилегания к платью сделан пояс. Платье подходит как для праздничного выхода,так и для офиса. Длина рукава с плечом 39 см. Длина изделия по спинке: размер 52,54 - 102см., размер 56,58,60,62 - 105см., размер 64,66 - 107см. ;
Модель П-0086;1000 р.;52-66;http://krassa-nsk.ru/index.php?route=product/product&path=63&product_id=163;Платье полуприлегающего силуэта с поясом. Принт цветы на синем. По переду платье отрезное по линии талии с заложенными мягкими складочками. Сзади по среднему шву разрез. Платье с цельнокроенным рукавом кимоно. Для лучшего прилегания к платью сделан пояс. Платье подходит как для праздничного выхода,так и для офиса. Длина рукава с плечом 39 см. Длина изделия по спинке: размер 52,54 - 102см., размер 56,58,60,62 - 105см., размер 64,66 - 107см.;
Модель П-0085;1000 р.;52-66;http://krassa-nsk.ru/index.php?route=product/product&path=63&product_id=162;Платье из набивного полотна цветы на синем. Платье отрезное по линии талии с трапециевидной юбкой. Для лучшего прилегания и посадки на фигуре, на лифе отрезные бочки по переду и спинке. Рукав втачной до локтя. Вырез горловины V-образный. Украшение не входит в стоимость изделия. Платье подвязывается поясом, что подчеркивает линию талии. Платье подходит как для праздничного выхода, так и для офиса. Длина рукава 23 см., длина изделия по спинке 117 см.;
Модель П-0078;1000 р.;52-66;http://krassa-nsk.ru/index.php?route=product/product&path=63&product_id=151;Платье полуприлегающего силуэта с поясом. Принт орхидеи на синем. По переду платье отрезное по линии талии с заложенными мягкими складочками. Сзади по среднему шву разрез. Платье с цельнокроенным рукавом кимоно. Для лучшего прилегания к платью сделан пояс. Платье подходит как для праздничного выхода,так и для офиса. Длина рукава с плечом 39 см. Длина изделия по спинке: размер 52,54 - 102см., размер 56,58,60,62 - 105см., размер 64,66 - 107см. ;
